,n,p,TP,FP,product,adj_R2
299,0.02,0.97,2.75,389.46,-13.95,0.38
300,0.02,0.98,2.21,339.3,-9.99,0.63
301,0.02,0.99,2.0,320.43,-8.47,0.82
302,0.02,1.0,1.95,313.32,-8.01,0.9
303,0.03,0.0,0.0,126.29,0.0,0.57
304,0.03,0.01,169.29,-3.42,-0.01,1.0
305,0.03,0.02,92.55,-5.6,-0.0,1.0
306,0.03,0.03,67.18,-8.03,-0.0,1.0
307,0.03,0.04,54.67,-10.71,-0.0,1.0
308,0.03,0.05,47.3,-13.64,-0.0,0.99
309,0.03,0.06,41.21,-15.27,-0.0,0.99
310,0.03,0.07,36.06,-14.44,-0.0,0.99
311,0.03,0.08,32.0,-12.37,-0.0,0.99
312,0.03,0.09,28.75,-9.64,-0.0,0.98
313,0.03,0.1,26.1,-6.59,-0.0,0.98
314,0.03,0.11,23.9,-3.45,-0.0,0.98
315,0.03,0.12,22.05,-0.33,-0.0,0.97
316,0.03,0.13,20.48,2.71,-0.0,0.97
317,0.03,0.14,19.12,5.62,-0.0,0.97
318,0.03,0.15,17.95,8.41,-0.0,0.97
319,0.03,0.16,16.92,11.06,-0.0,0.96
320,0.03,0.17,16.01,13.59,-0.0,0.96
321,0.03,0.18,15.2,16.0,-0.0,0.96
322,0.03,0.19,14.48,18.31,-0.0,0.96
323,0.03,0.2,13.83,20.52,-0.0,0.96
324,0.03,0.21,13.24,22.65,-0.0,0.96
325,0.03,0.22,12.71,24.7,-0.0,0.96
326,0.03,0.23,12.23,26.68,-0.0,0.96
327,0.03,0.24,11.79,28.61,-0.0,0.95
328,0.03,0.25,11.39,30.48,-0.0,0.95
329,0.03,0.26,11.02,32.31,-0.0,0.95
330,0.03,0.27,10.68,34.1,-0.0,0.95
331,0.03,0.28,10.37,35.86,-0.0,0.95
332,0.03,0.29,10.09,37.58,-0.0,0.95
333,0.03,0.3,9.83,39.28,-0.0,0.95
334,0.03,0.31,9.59,40.95,-0.0,0.95
335,0.03,0.32,9.36,42.61,-0.0,0.95
336,0.03,0.33,9.16,44.25,-0.0,0.95
337,0.03,0.34,8.98,45.88,-0.0,0.95
338,0.03,0.35000000000000003,8.81,47.49,-0.0,0.94
339,0.03,0.36,8.66,49.09,-0.0,0.94
340,0.03,0.37,8.52,50.69,-0.0,0.94
341,0.03,0.38,8.4,52.27,-0.0,0.94
342,0.03,0.39,8.3,53.84,-0.0,0.94
343,0.03,0.4,8.22,55.41,-0.0,0.94
344,0.03,0.41000000000000003,8.16,56.95,-0.0,0.94
345,0.03,0.42,8.11,58.47,-0.0,0.94
346,0.03,0.43,8.09,59.95,-0.0,0.94
347,0.03,0.44,8.1,61.37,-0.0,0.94
348,0.03,0.45,8.15,62.71,-0.0,0.93
349,0.03,0.46,8.24,63.9,-0.0,0.93
350,0.03,0.47000000000000003,8.4,64.86,-0.0,0.93
351,0.03,0.48,8.64,65.42,-0.0,0.93
352,0.03,0.49,9.02,65.26,-0.0,0.93
353,0.03,0.5,9.65,63.69,-0.01,0.92
354,0.03,0.51,10.71,59.01,-0.01,0.92
355,0.03,0.52,12.74,46.17,-0.01,0.92
356,0.03,0.53,17.0,5.72,-0.01,0.92
357,0.03,0.54,28.32,-150.83,-0.01,0.95
358,0.03,0.55,51.26,-491.84,-0.01,0.99
359,0.03,0.56,54.22,-538.11,-0.01,0.99
360,0.03,0.5700000000000001,55.25,-556.73,-0.01,0.99
361,0.03,0.58,56.27,-575.43,-0.01,1.0
362,0.03,0.59,57.28,-594.07,-0.01,1.0
363,0.03,0.6,58.25,-612.4,-0.01,1.0
364,0.03,0.61,59.15,-630.13,-0.01,1.0
365,0.03,0.62,59.96,-646.88,-0.01,1.0
366,0.03,0.63,60.65,-662.22,-0.01,1.0
367,0.03,0.64,61.19,-675.75,-0.01,1.0
368,0.03,0.65,61.56,-687.14,-0.01,1.0
369,0.03,0.66,61.76,-696.2,-0.01,1.0
370,0.03,0.67,61.81,-702.89,-0.01,1.0
371,0.03,0.68,61.71,-707.27,-0.01,1.0
372,0.03,0.6900000000000001,61.48,-709.34,-0.0,1.0
373,0.03,0.7000000000000001,61.05,-708.3,-0.0,1.0
374,0.03,0.71,60.13,-699.99,-0.0,1.0
375,0.03,0.72,57.56,-668.64,-0.0,1.0
376,0.03,0.73,50.07,-568.34,-0.0,1.0
377,0.03,0.74,33.7,-341.67,0.0,1.0
378,0.03,0.75,15.18,-80.58,0.01,1.0
379,0.03,0.76,5.33,61.35,0.01,1.0
380,0.03,0.77,2.09,110.46,0.01,1.0
381,0.03,0.78,1.19,126.16,0.01,1.0
382,0.03,0.79,0.94,132.45,0.01,1.0
383,0.03,0.8,0.85,136.2,0.01,1.0
384,0.03,0.81,0.8,139.24,0.01,1.0
385,0.03,0.8200000000000001,0.76,142.02,0.01,1.0
386,0.03,0.8300000000000001,0.73,144.69,0.02,1.0
387,0.03,0.84,0.7,147.26,0.02,1.0
388,0.03,0.85,0.68,149.71,0.02,1.0
389,0.03,0.86,0.65,151.99,0.03,1.0
390,0.03,0.87,0.63,154.02,0.04,1.0
391,0.03,0.88,0.61,155.7,0.07,1.0
392,0.03,0.89,0.58,156.84,0.12,1.0
393,0.03,0.9,0.55,157.19,0.22,0.99
394,0.03,0.91,0.5,156.25,0.4,0.99
395,0.03,0.92,0.41,153.01,0.79,0.97
396,0.03,0.93,0.21,145.03,1.64,0.93
397,0.03,0.9400000000000001,-0.21,132.27,3.27,0.79
398,0.03,0.9500000000000001,2.62,270.53,-9.24,0.39
399,0.03,0.96,2.47,244.3,-7.96,0.5
400,0.03,0.97,2.11,223.6,-6.28,0.75
401,0.03,0.98,2.01,216.1,-5.75,0.86
402,0.03,0.99,2.01,213.34,-5.65,0.91
403,0.03,1.0,2.05,212.71,-5.76,0.94
404,0.04,0.0,0.0,95.71,0.0,0.56
405,0.04,0.01,173.33,-3.0,-0.0,1.0
406,0.04,0.02,94.72,-4.69,-0.0,1.0
407,0.04,0.03,68.75,-6.57,-0.0,1.0
408,0.04,0.04,55.93,-8.65,-0.0,1.0
409,0.04,0.05,47.62,-10.42,-0.0,0.99
410,0.04,0.06,40.75,-10.22,-0.0,0.99
411,0.04,0.07,35.59,-8.95,-0.0,0.99
412,0.04,0.08,31.58,-7.11,-0.0,0.98
413,0.04,0.09,28.39,-4.97,-0.0,0.98
414,0.04,0.1,25.79,-2.73,-0.0,0.98
415,0.04,0.11,23.64,-0.48,-0.0,0.98
416,0.04,0.12,21.83,1.73,-0.0,0.97
417,0.04,0.13,20.28,3.86,-0.0,0.97
418,0.04,0.14,18.95,5.91,-0.0,0.97
419,0.04,0.15,17.79,7.87,-0.0,0.97
420,0.04,0.16,16.78,9.74,-0.0,0.96
421,0.04,0.17,15.88,11.53,-0.0,0.96
422,0.04,0.18,15.08,13.25,-0.0,0.96
423,0.04,0.19,14.37,14.9,-0.0,0.96
424,0.04,0.2,13.73,16.49,-0.0,0.96
425,0.04,0.21,13.15,18.03,-0.0,0.96
426,0.04,0.22,12.63,19.52,-0.0,0.96
427,0.04,0.23,12.15,20.97,-0.0,0.96
428,0.04,0.24,11.72,22.38,-0.0,0.95
429,0.04,0.25,11.32,23.76,-0.0,0.95
430,0.04,0.26,10.95,25.11,-0.0,0.95
431,0.04,0.27,10.62,26.43,-0.0,0.95
432,0.04,0.28,10.31,27.74,-0.0,0.95
433,0.04,0.29,10.03,29.02,-0.0,0.95
434,0.04,0.3,9.77,30.29,-0.0,0.95
435,0.04,0.31,9.53,31.55,-0.0,0.95
436,0.04,0.32,9.31,32.79,-0.0,0.95
437,0.04,0.33,9.11,34.03,-0.0,0.95
438,0.04,0.34,8.93,35.26,-0.0,0.95
439,0.04,0.35000000000000003,8.76,36.48,-0.0,0.94
440,0.04,0.36,8.61,37.7,-0.0,0.94
441,0.04,0.37,8.48,38.91,-0.0,0.94
442,0.04,0.38,8.37,40.12,-0.0,0.94
443,0.04,0.39,8.27,41.33,-0.0,0.94
444,0.04,0.4,8.19,42.53,-0.0,0.94
445,0.04,0.41000000000000003,8.12,43.72,-0.0,0.94
446,0.04,0.42,8.08,44.89,-0.0,0.94
447,0.04,0.43,8.07,46.04,-0.0,0.94
448,0.04,0.44,8.09,47.14,-0.0,0.93
449,0.04,0.45,8.14,48.18,-0.0,0.93
450,0.04,0.46,8.25,49.1,-0.0,0.93
451,0.04,0.47000000000000003,8.42,49.83,-0.0,0.93
452,0.04,0.48,8.7,50.2,-0.0,0.93
453,0.04,0.49,9.15,49.93,-0.0,0.93
454,0.04,0.5,9.89,48.3,-0.0,0.92
455,0.04,0.51,11.23,43.44,-0.01,0.92
456,0.04,0.52,13.98,29.03,-0.01,0.92
457,0.04,0.53,20.32,-23.26,-0.01,0.93
458,0.04,0.54,38.76,-224.6,-0.01,0.97
459,0.04,0.55,54.94,-405.57,-0.01,0.99
460,0.04,0.56,56.01,-419.97,-0.01,0.99
461,0.04,0.5700000000000001,57.07,-434.45,-0.01,0.99
462,0.04,0.58,58.11,-448.91,-0.01,1.0
463,0.04,0.59,59.13,-463.19,-0.01,1.0
464,0.04,0.6,60.07,-477.04,-0.01,1.0
465,0.04,0.61,60.93,-490.16,-0.01,1.0
466,0.04,0.62,61.66,-502.22,-0.01,1.0
467,0.04,0.63,62.23,-512.88,-0.01,1.0
468,0.04,0.64,62.62,-521.87,-0.01,1.0
469,0.04,0.65,62.84,-529.01,-0.0,1.0
470,0.04,0.66,62.89,-534.28,-0.0,1.0
471,0.04,0.67,62.79,-537.73,-0.0,1.0
472,0.04,0.68,62.55,-539.37,-0.0,1.0
473,0.04,0.6900000000000001,62.11,-538.62,-0.0,1.0
474,0.04,0.7000000000000001,61.16,-532.3,-0.0,1.0
475,0.04,0.71,58.49,-507.97,-0.0,1.0
476,0.04,0.72,50.61,-428.93,0.0,1.0
477,0.04,0.73,33.4,-250.73,0.0,1.0
478,0.04,0.74,14.55,-51.73,0.01,1.0
479,0.04,0.75,4.97,51.81,0.01,1.0
480,0.04,0.76,1.93,86.52,0.01,1.0
481,0.04,0.77,1.11,97.55,0.01,1.0
482,0.04,0.78,0.87,102.09,0.01,1.0
483,0.04,0.79,0.79,104.92,0.01,1.0
484,0.04,0.8,0.74,107.25,0.01,1.0
485,0.04,0.81,0.71,109.41,0.01,1.0
486,0.04,0.8200000000000001,0.68,111.48,0.01,1.0
487,0.04,0.8300000000000001,0.65,113.47,0.02,1.0
488,0.04,0.84,0.62,115.34,0.02,1.0
489,0.04,0.85,0.59,117.05,0.03,1.0
490,0.04,0.86,0.57,118.52,0.04,1.0
491,0.04,0.87,0.55,119.63,0.07,1.0
492,0.04,0.88,0.52,120.23,0.12,1.0
493,0.04,0.89,0.48,120.0,0.23,0.99
494,0.04,0.9,0.41,118.38,0.44,0.98
495,0.04,0.91,0.27,114.02,0.9,0.96
496,0.04,0.92,-0.08,103.92,1.98,0.88
497,0.04,0.93,0.29,130.22,0.37,0.53
498,0.04,0.9400000000000001,2.89,204.98,-7.56,0.39
499,0.04,0.9500000000000001,2.28,177.78,-5.38,0.65
500,0.04,0.96,2.09,168.45,-4.67,0.82
501,0.04,0.97,2.05,164.95,-4.49,0.89
502,0.04,0.98,2.09,163.82,-4.53,0.92
503,0.04,0.99,2.15,163.85,-4.67,0.94
504,0.04,1.0,2.23,164.49,-4.87,0.96
505,0.05,0.0,0.0,77.36,0.0,0.55
